"CommentID","AuthorChannelID","AuthorDisplayName","Comment","PublishedAt"
"UgzcRS8PIi5WvkFdSil4AaABAg","UCBOiG3Iljt7loGi9vIv4j1w","kacperson","Very good episode. Will help me for usre.","2021-03-03T10:47:49Z"
"UgycAnT7GXU5suGLe6V4AaABAg","UCG88DWPQ6lxAuZZPfLlS5pw","TreRichie","What treat are you using???","2021-03-03T09:06:46Z"
"UgyjMnOmV7YSeDSrcIx4AaABAg","UCyi1JjidCZtxGvTS4-a4Xow","Niecey Rogers","Thank you for the teaching video. My dog will not take a treat from me when we leave our yard. I don’t know what to do about that. What should I do? I want to reward her and teach her quickly the behavior I want.","2021-03-03T02:00:59Z"
"UgyaAR0P0_VYYcfLIN54AaABAg","UCUJaIyapAt_N5w716jGbWKA","TheBadMama","I have my puppy in 2 weeks and I am soooo excited ! I’m watching your videos religiously 🙏🏻","2021-03-01T22:04:16Z"
"Ugyz1igNkN8Evn9m3G94AaABAg","UCksoCGqt1SA1YmcTD5jQ0uA","Valentin Manz","Thanks Zak! Can you show what the more relaxed walk looks like (the one before the training walk) if a dog hasn't learned to stop pulling?  Is Inertia allowed to pull during this more relaxed walk? Does that negate the training walk? We sometimes actually do need to get somewhere with our dog Potet, but don't want to undo the little steps forward in our training.","2021-02-27T19:20:41Z"
"Ugy21rXcm7q0xSLLDap4AaABAg","UCtUsKOYHa4F8GAckdyjd_Cw","elliot bentley","ive noticed you stopped using your clicker is that because inertia got older or some other reason","2021-02-27T15:03:43Z"
"UgzBSt-8Z7wU1udXRbx4AaABAg","UCFQrDA2TD_2_pwwbDI11GBA","keegansmom2008","""Then the wind distracted her."" This is my dog as well XD I take my lab mix 'outside potty' and he is so distracted that he forgets to go.","2021-02-25T13:54:48Z"
"UgzYetfINmOKwGy7T794AaABAg","UCaFra6zTDmhaz72yd2NVAoQ","jamesS08311","Can we stop and just say that his shoe game is strong 😂😂😍","2021-02-24T09:22:19Z"
"UgzDga2AoO2npL6m7eB4AaABAg","UCxC7M76__W4_vj5N633eKFQ","Panzer","play before walk, then train while on walk... sounds so simple - let's add a puppy to the mix. ☺","2021-02-22T14:39:55Z"
"UgzqzWhYYs9B9nNF3L54AaABAg","UCzrrSbhnBHXsSEmW_TiULBg","RAY Alvarez","What treats","2021-02-21T10:18:29Z"
"UgyBkIfz9SidA2BH11p4AaABAg","UCI1G1I9Nw0ljYrk3y2hvY3g","bruce peterson","1 year later. His dog still pulls and doesn't know heel🙄","2021-02-20T15:53:29Z"
"UgxIU35_0h8XyGmkUp14AaABAg","UCYSzPqp67k-rG1i6H045Bfw","Vivek Deb","Thanks for the many vdos on dog training zak.U r actually the trainer of my dog","2021-02-20T10:13:08Z"
"UgwcIwbF_JAksHWOgNV4AaABAg","UC4I8LX8qV6nyI_hWuNk84iQ","Shellie H","A good dog train wouldn’t name their dog inertia. Lol","2021-02-20T01:45:41Z"
"UgzQscZ6vtE4X8Jy-p94AaABAg","UC_ap7L7GvVxPLljs3gIU7KQ","jayfrayy","what sort of treats are you giving them as a reward?","2021-02-19T19:00:12Z"
"Ugzp0kVya7ppDCVxoMx4AaABAg","UChXHx8IlqcIMidlNP_R5zuw","Armor Man","I gust got a dog and he’s 8 weeks","2021-02-19T15:16:34Z"
"UgzoGKqYqYT35ATmXnx4AaABAg","UCh9wdKjHT26SDj1kWz068Cw","Elena Wike","how do you get your dog to walk nice in a store? i want to take my dog mlre places but his leash training isnt the best and sometimes he wants to bark at people or wants to pee in a store","2021-02-17T19:12:05Z"
"Ugy94lmhUp3JySocqAB4AaABAg","UClItOM_rUqQHW3_BdzEw4gg","HJ MCG","treats, treats, treat w/ minimal training.","2021-02-17T04:47:39Z"
"UgxaH1ZAEWQoFD__4MN4AaABAg","UCAOXk19Ibc0mRqSCmhqcJZA","Kendra McDowell","What type of harness do you have on Inertia? My dogs are 20 steps behind Inertia (just got them 3 weeks ago), but they pull even using the Slip Rope Leads. We stop every time they pull (walking them separately) and wait till the come back to us releasing the tension themselves, then we reward with a treat. We've tried to use the Freedom harness and the Easy Walk harness and they pull uncontrollably - like they don't feel any resistance so they just want to pull. Advise on harnesses would be helpful. My dogs are 1) pit bull and 2) pit bull/basset hound mix (nose to the ground all of the time).","2021-02-16T16:09:36Z"
"UgzNJrQW--E-hsl0duV4AaABAg","UCkdZE1vbq7qrP-jPolr-zww","Chelsey Ghilardi","Hello I have two doggies and just moved to an apartment. When I walk them they are excited and pull me all over the place. One even whines because he’s so excited. I have two of them so it is hard to get them both to listen. If I take one and leave the other behind the one left behind cries and is mad that I left them. What do you recommend? Also do you have any tips for dogs who like to bark at noises coming from the outside?","2021-02-15T03:01:43Z"
"UgyYIaGr8HRyJ0abSEp4AaABAg","UC-4z4wm7hjNrXtXcIHpuTvA","ROBERT Rhodes, SR","Superdog, and SuperTrainer! And a Super Training video! THANKS so much for this real on the go training examples in a live action series. I saw so many mini lessons I need to work with teaching my rambunctious Border Collie! Thank you again!","2021-02-13T08:23:40Z"
"Ugxz7NAKphS-MG03QhJ4AaABAg","UCbKMn-B0jXdz5GOGgZmnYig","Samantha Vuktilaj","Hi Zak!! My dog Cali struggles with leash walking. it’s hard to positively reinforce when she does not pull, since she on walks she is not interested in treats! (Typically LOVES treats) I’m not sure how to go about this","2021-02-13T05:54:54Z"
"UgxUR6bOyxcvDZizWLN4AaABAg","UCDwDuTHO-Sw4QiwIl9TyIeg","Stephanie Hunter","Thankyou","2021-02-11T08:40:32Z"
"UgxO05nsfuWxRUBcNwF4AaABAg","UCb8Rid1HA05V0KV7DDmZNRw","Brian Peck","why don't you show you training a puppy that has NEVER been on a leash before. This dog is already partly trained. They don't start like this....","2021-02-09T22:38:31Z"
"UgxYP4xcp4pQhHrVyNZ4AaABAg","UCII5-zdsbh_ApHthxxR7rew","Angel Ramos","Thank you Patrick Mahomes we know you're busy but this video was really helpful","2021-02-09T08:11:26Z"
"UgwjQsseFUDvIm8-2OF4AaABAg","UCBjKhkWvnqDe78ABijDYgpw","BelieveThePanda","Wtf is lore and wtf is libe","2021-02-08T18:34:35Z"
"UgxKmKVWfsZcsPwpWYF4AaABAg","UCGtQCfRFK1lDkejGL5TM9TQ","H Chan","Watching Zak train with our 12 week old Yorkie and she keeps sitting and watching intently.  So fun!","2021-02-07T05:07:07Z"
"Ugz2oKXVBdBtZ7j8hXB4AaABAg","UCtMwgv-wXR2K-9P-NYnOWEQ","Jade Ferra","Love your videos- patience is key!!!! People need to consider that dogs are dogs, they don't automatically know what we want from them. Appropriate behavior to dogs is much different than human appropriate behavior","2021-02-06T19:19:05Z"
"UgwXWWoUWYVGZdRCf994AaABAg","UC_PrqHbWNtfQm5JOIFSTqEg","ahmed honey","My dog doesn't walk properly because of covid. He is scared. Always sitting in road. I don't what to do. Sooo sad","2021-02-05T17:25:50Z"
"Ugx_Y15AYCeRfC2E4M54AaABAg","UCqq0GiAlPqtvF5gDW5Uqbbw","Emily Surowka","I'm happy I found this today and it immediately gave me energy to get outside and walk. Although I don't avoid walks by any means (my dog goes 3-4x a day) they're not always the most pleasant. My pup is just over a year and tends to pull. He ignores people but needs to greet every single dog. We had 2 yappy dogs following us today and instead of walking away, we stopped and I kept my dogs attention. Thanks for this video :)","2021-02-05T13:56:48Z"
"UgwujtODURxQFHox7Tl4AaABAg","UCcAPXI4HX2GwfKxTQbfEIvA","Good Boye","I love your trippy dog portraits in your studio 🤙","2021-02-05T06:23:44Z"
"UgyKRE9spnY5YAwedTx4AaABAg","UCjTlOurM_-mMJb9qCj2uvAg","CoolTrainer: VaultBoy-39","I'm going to have to use this on my Pitt/Husky mix. I'm basically new to dog ownership, so I'm going to need all the help I can get.","2021-02-04T22:54:14Z"
"UgySGam61reNX6ibXU54AaABAg","UCSvsh9xkrVNm5RXq0qzZANA","G Talk Garden Podcast","Awesome video and dope kicks.....","2021-02-03T22:46:33Z"
"UgwLAOUNKxVE3UUPSE54AaABAg","UC4FG4sXFRJF20Mk0U7V-DTw","Michael Holden","Our Aussie was HORRIBLE on a leash. We dreaded walks, we tried books etc, and nothing. I watched this video and we did this 2 times a day for 2 days, and Moose is perfect!!","2021-02-03T20:36:43Z"
"UgyocGN4yB3h0WvJmGV4AaABAg","UCs0hLggV9dRB2p5xm7bMVCQ","Ryan","Great educational training video, thank you! Very informative.","2021-02-03T18:40:51Z"
"Ugz6Fr-KUwmJZQB2LsJ4AaABAg","UCH1PidYd61G6Y1Cp_CP4SBQ","Marquesha Lee","What type of treats are you using? They seem to be really effective☺️","2021-01-30T21:19:13Z"
"UgxH0cUL9flGcKgHSbl4AaABAg","UCiGwTvWBstwB-jwYFYP7tiQ","JayJayChiang","My puppy doesn’t like treats during play and training so what’s another way to get him to focus please?","2021-01-29T06:46:56Z"
"UgyFAB0kayUAnNkTDU54AaABAg","UCQRIu5evEZ8mZsp2oa50fEQ","Michele Lawson","2hat is the other dog in your video. ( Type/ breed","2021-01-29T01:13:15Z"
"UgxKL12aRfk-pxLJ9r14AaABAg","UCNTurgpbsS5C3us7y55Oh_A","L Steward","Zak, I'm really enjoying your videos.  They're so helpful in teaching me how to think more like a dog.  We have a 5 month old Cavalier King Charles named August who's doing fantastic on his leash and other training thanks to all your tips and reminders.  PS.  I also enjoy seeing all your athletic shoes.   I haven't counted how many because I'm trying to pay attention LOL","2021-01-26T21:08:41Z"
"UgxE3ky9Cn0_FgyuZ_x4AaABAg","UCzQREiNMbO8A1ilDdlEaEOQ","Dean W","Just as expected. Some useful advice sprinkled in the middle of a giant informercial","2021-01-26T20:29:03Z"
"Ugzo5wWKPpctrb7vVm54AaABAg","UCiHirLLeaPnIIA7ELXcqA5Q","Gary Kelly","Hi there, I have an 11-week sprocker spaniel and I'm trying to teach him to use the doggy flap door but he is too scared of it? What would you suggest?? 

Love the vids, been my guild so far!","2021-01-26T19:38:59Z"
"UgxoqonRqU7xNY-5Vft4AaABAg","UC_PBRaCJiXffE3n5nEEs7Yw","Angie Angie","I tried using this method... works like a charm !!","2021-01-26T04:41:13Z"
"UgxIVeA_97VVXvRWONF4AaABAg","UC5M-qUjd3jYKq55eUdVWoDw","Praise LordCthulhu","One good tip i got from the trainer we used is if they pull walk around them. Do a uturn in front of the dogs face and walk opposite direction. Important to cross in front of the dogs face. Its forces them to look at you and follow you.

Do the uturn in front of them and then make them sit. When they sit continue. This forces them to see you and follow and it teaches that you lead when you dont move till the sit. Treats when they are staying by your side and look up at you. And treats when they sit.","2021-01-25T08:33:47Z"
"UgwTTpWlto-zaKf0anp4AaABAg","UChBPRDypITIhHth4PKiJpYQ","Carole Warner","I've seen 4 different trainers using this same technique but I've also noticed that NONE of the dogs being trained are exuberant puppies!  Seems they calm down much better after a year or so.","2021-01-22T23:00:43Z"
"UgwXuonW2YV-ndoaNxV4AaABAg","UCer3kH4K3QLuchKhCumcg3A","Blake Williams","Hey Zak. What are the training treats you always are ripping off and giving inertia? I have just small training treats but I feel like they are still pretty big and I am giving her way too much. Thanks!","2021-01-22T17:36:36Z"
"UgxWetB1nqJPUfHKeqR4AaABAg","UC4czN9EAGT3hcBGGdM8nOnw","Vivaan Modi","I feel so sad for Indi at 3:30","2021-01-22T16:48:07Z"
"Ugz2AwkJDe61vz8uKgJ4AaABAg","UClImGQVeSPl8iYQJRMertdg","fasolcia25","That older dog remind me so much of my grandma's border collie. I miss that doggo so much","2021-01-20T17:02:01Z"
"UgwEIST0zcRaYfLqaGF4AaABAg","UCOtvLDet1RqAMKNGUj7XoEQ","Anthony S","I'm a new dog owner and I have a 3mo old black lab who is a sweet boy, but he gets really riled up and he's a constant biter. When we go for walks he wants to out everything he isn't supposed to eat in his mouth which I have to then take it out of his mouth, which isn't always easy. During the walk he wants to always go chew on the trees or whatever and he will dig in and not pay attention to me. When were close to home he gets HYPER excited and tries to sprint, lunge, and then bite me. Jump up and bite my hands, bite at my feet, pull at my pants and just get aggressive. 

Have any of you experienced the same thing as I have? How do I try to fix this? When he's riled up he gets aggressive with his bites and I can't get him to calm down without putting him in his bed and leaving him alone for 10-15 minutes. Its very frustrating and I feel very lost sometimes. Any help is appreciated","2021-01-19T16:33:23Z"
"Ugy_21svO-7gIIX1xbF4AaABAg","UC0ebwDN8J0S6_Un_Bbu11bQ","jennifer duron","Thank u it will be a good idea and a great help for my 5mos.old dog.💖","2021-01-19T04:59:38Z"
"Ugya0o0i6UM55MO1P_54AaABAg","UCwntyUulgx0e64sfF_6MHyQ","erikl85","Those levees are trippy, they look like the world just ends there.","2021-01-18T23:45:22Z"
"UgzDuDUxFQmt13uC-9Z4AaABAg","UClJZOaHlXBlY7ltz7BLtX-w","johnulcer","""MOST REALISTIC!"" (*uses a dog that doesn't pull at all and obeys commands*)","2021-01-18T21:40:00Z"
"Ugz05xoxtykJ1LWhXdB4AaABAg","UCfzAZIu8KA5a0MHnCe3cK7w","Ruby Citalan","Is it better to train new dogs together or apart?","2021-01-18T18:56:26Z"
"Ugxc2wrUPjJieJ7HOKd4AaABAg","UClMwJSTqjDe2TySGNxqlRJQ","sledman yamaha","How old is she in this video","2021-01-18T02:48:26Z"
"UgwKwxnVWgViRt2B8xx4AaABAg","UCUNR9smqzRixS8Yxf6Me2fg","Em Elyse","Very helpful! I've been struggling a lot with loose leash. Not so much in the city/on normal walks but when we hike (my dog has a massive prey drive and will likely never ever be off leash while hiking), he likes to walk forward and pull. It has been so frustrating. Thank you!!","2021-01-17T05:16:43Z"
"Ugx5R5KgnGgDcZqt2r94AaABAg","UCxtAUdPXdw60WAB2gEeXpWw","Ryder Kalaris","The automatic racing potentially concern because russia neurophysiologically scold athwart a ancient chef. fanatical, adaptable banana","2021-01-17T05:16:20Z"
"Ugw9KGMjWvX4fsq6JHd4AaABAg","UCCGmr_UFsD10yYqBJZK4Eew","Hanumanthu Jagannadham","What is the dog breed??","2021-01-16T15:02:40Z"
"UgwQUNUscxTr7WLgDUB4AaABAg","UChNZk5I6t1TiMUpgIb8cgBQ","Ann slimmingandcraft","Thank you learned so much","2021-01-15T16:51:51Z"
"UgykbtS2emSJmmYxhR54AaABAg","UCGoieRRemzM3B-a1s8NAsUA","Arturs Lejins","T phuc am i doing here? I dont even have a dog..","2021-01-15T16:46:05Z"
"UgxY-F1Xh0hAVtXyS-V4AaABAg","UCziCKZUrs74WHursG_B8diA","Surreal","Is he using typical deli turkey?? I heard him say he uses turkey and tear it into small pieces. Thought that was bad for dogs? Or am I wrong","2021-01-14T19:22:23Z"
"Ugx2CTXeYkE2HBFIfgh4AaABAg","UCj7veSmUpxWk3MwRps1RDNA","naveen kumar","Hey do we keep the dog owner with us during the training course??","2021-01-14T10:49:35Z"
"Ugx7yR-8M60gWs_vmAd4AaABAg","UCgKKjpBzrN0K92ijw5NWZwQ","Raptor086","This is mediocre dog training at best","2021-01-14T05:54:41Z"
"UgzM46QwXwVOB5zNjTl4AaABAg","UCD6m0ii3WLNLSWkhVOM3jbg","Cheri LeMarble","I really would like to see someone do a video of at least an 8 month old Rottsky or similar with severe pulling and other behavioral issues. Ive had my rottsky for 5 months now and all I've been able to stop is the biting. She pulls my 200 lb body like a slingshot across the yard she is getting too strong for me. She chases small animals to play but doesn't listen unless constant treats are being given. I just want to be able to walk my dog or take her for a run but its become impossible. She is always distracted and excited. anyone know of anyone who has actually done videos with a dog they just met that has very little training because the dog refuses to accept it. I tried the tip of facing a corner and ignoring her to get her to stop her behavior instead it backfired and I got body slammed into the corner.","2021-01-14T04:18:45Z"
"UgyEgEVq3SHHJaOz0yh4AaABAg","UC9aoO-_-lmiUN77M9iIVWqQ","mktheking221","Looking for a harness like that! Which one is that? Or what’s another good one that’s similar?","2021-01-13T17:56:15Z"
"UgyftlmslE0ynMOKddN4AaABAg","UCbk0yy6Jjaxhrm9I35m_ujQ","G Man","Can you train my springer?","2021-01-13T07:52:52Z"
"UgwAkDs7NgopteHDFr14AaABAg","UC-FQNHA7PGeSRdvo8aKRPaw","Streamline PO","What do I do when my puppy just sits down and won't move?  if I use treats he walks till he wants another treat, then plays boss with me.  It takes forever to move around the block.","2021-01-13T00:12:56Z"
"Ugx5ehE0Dn4GbN0s1kd4AaABAg","UCkHe0UzgokAINrK0HfmzMMw","Clair Smith","Awesome Video and even more Awesome NIKES!!!!👟 👟","2021-01-11T23:03:34Z"
"UgyQRHwg0qGTHU2Qbct4AaABAg","UC2XipKU6qgm-De1FYHAFrBw","Mia Barton","How do I get my dog to not shred his toys or bed?","2021-01-11T18:38:29Z"
"Ugx7N56IPIWULWJk-qt4AaABAg","UC2XipKU6qgm-De1FYHAFrBw","Mia Barton","My dog is abt a year old and he is bigger than I am he’s also a lot stronger on my walks he makes me let go of him when he pulls to see another dog 🐶 how do I stop this?","2021-01-11T18:27:16Z"
"Ugzopiml6eDHB-4Qhvd4AaABAg","UC3IeNB5TM4Cn6sfLpnx7Afw","Marcin","If I had a dog like that I wouldn't need to train it anymore lol mine is just a beast, pulls a leash and I can barely hold him ..","2021-01-11T17:38:22Z"
"Ugw92DMeWAc1oTJthUx4AaABAg","UCr4cclgOSQ8et36ZSZl1TQQ","⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻","As a physics major, what a beautiful name for a dog :D Very fitting","2021-01-11T06:01:05Z"
"Ugx1am_m2S-o39UKXHx4AaABAg","UClbpcJH9jx3GG0W0WTQ_DTQ","Evan Kelly","You have the patience of a saint. Thanks for the realistic length of video and showing the struggle. Not another 3 minute video like look my dog walks great 🤦","2021-01-11T04:29:59Z"
"UgxPKd2gcMw08oim_x54AaABAg","UCz8IAggg12MFzwa4ChHgVuw","Rafael Rodriguez","what type of treats do you use for training I dont want my puppy to get fat with so many treats I havent find good treats... if anyone has any suggestions please let me know!","2021-01-10T16:14:56Z"
"Ugz2KaO33ycxd08tXAx4AaABAg","UCnwS2fNPG7KJHAFiE9Q2W-w","Victor Kowalski","I’m very grateful for his demeanor, willingness to offer a realistic insight into training. I have felt defeated due to seeing only end results in videos . The most important insight for me the awareness of the dogs feelings which has lead me to be more understanding and less frustration.","2021-01-10T12:46:48Z"
"UgyJWWJgYPcwz-MbCDx4AaABAg","UC7681BW3UiqMXQ5FMfxZe9A","Sen Valox","""I'm really avoiding tension because I want her going through the motions and to think through her actions so she understands that she's to stay with me. Not because I'm pulling on her, but because it makes sense for her to want to be near me."" This is one of the best points I've heard regarding leash training. Too many owners rely on the general concept of learned obedience, but don't consider how a dog's thought process impacts how quickly they can pick up desirable behaviors.","2021-01-08T19:48:21Z"
"UgwFW2N2bFQYeURpnvF4AaABAg","UCHZfFo8fCayye1d6O7BaHvQ","Ryan Wedekind","When taking Inertia on the long exercise walk, prior to training, how strict are you about pulling on the leash?","2021-01-08T11:14:00Z"
"UgxA5MzGWuvn76So0pd4AaABAg","UCcXwKbwIUEhb1tH802LkJfQ","Clive Allen","Great insight in walking your dog. Thanks.","2021-01-06T01:31:22Z"
"Ugy__UHWhSrAdKe3ILV4AaABAg","UCQq2qjYvjdPEtJV_F-5c-3w","Jeff Chartier","So... what happens when they don't care about the food.","2021-01-05T03:15:33Z"
"UgwPVOP3axnsR3Cap414AaABAg","UCCZLq53BeB59y1orVLIfw4A","Ingeborg Anne Rakvåg","Hey guys, I think this video is out of order in the Dog Training Experience playlist. It's right after the first episode - care to move it? <3","2021-01-04T22:52:16Z"
"UgwFHQWo27kPhmll_-F4AaABAg","UCCKx8LwPjy4bl0X1IHCPNaw","Solo & unicorn","Do you no all the dog breads","2021-01-04T15:28:18Z"
"UgzbfAfVwU602U0ZiJt4AaABAg","UCCKx8LwPjy4bl0X1IHCPNaw","Solo & unicorn","I feel so much better watching his videos","2021-01-04T15:26:53Z"
"UgyWGsizQrWNLIQGEA94AaABAg","UCdeiKfk09Lhyo4u3dEzZwfA","Zoltán Kopriva","What if my dog is pulling so much that he is drowning but he doesn't care.","2021-01-04T14:03:39Z"
"Ugy5-kGqvT16X6Ja11V4AaABAg","UCZuWaYfY0ynPvh-YhEDcJ9w","contrite sinner","Therefore also now, saith the LORD, turn ye even to me with all your heart, and with fasting, and with weeping, and with mourning: And rend your heart, and not your garments, and turn unto the LORD your God: for he is gracious and merciful, slow to anger, and of great kindness, and repenteth him of the evil. (Joel 2:12-13 [KJV])  <>   For whosoever shall call upon the name of the Lord shall be saved. (Romans 10:13 [KJV])","2021-01-03T21:54:52Z"
