"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"Very good episode. Will help me for usre.","kacperson","https://yt3.ggpht.com/ytc/AAUvwniXan3uhyIfGmNmtNln0jffpAFwQvFt0ocCFA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBOiG3Iljt7loGi9vIv4j1w","UCBOiG3Iljt7loGi9vIv4j1w","0","0","2021-03-03T10:47:49Z","2021-03-03T10:47:49Z","UgzcRS8PIi5WvkFdSil4AaABAg",NA,"kTxL82Dp-XM"
"What treat are you using???","TreRichie","https://yt3.ggpht.com/ytc/AAUvwnhs7A1mnXwHdXT38UcxVdiu3aO6bc5BZJ0Cgg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCG88DWPQ6lxAuZZPfLlS5pw","UCG88DWPQ6lxAuZZPfLlS5pw","0","0","2021-03-03T09:06:46Z","2021-03-03T09:06:46Z","UgycAnT7GXU5suGLe6V4AaABAg",NA,"kTxL82Dp-XM"
"Thank you for the teaching video. My dog will not take a treat from me when we leave our yard. I don’t know what to do about that. What should I do? I want to reward her and teach her quickly the behavior I want.","Niecey Rogers","https://yt3.ggpht.com/ytc/AAUvwngdA3L_GXu1x24wBjf_GVutnhWd5uq7BnguHghDWA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCyi1JjidCZtxGvTS4-a4Xow","UCyi1JjidCZtxGvTS4-a4Xow","0","1","2021-03-03T02:00:59Z","2021-03-03T02:00:59Z","UgyjMnOmV7YSeDSrcIx4AaABAg",NA,"kTxL82Dp-XM"
"I have my puppy in 2 weeks and I am soooo excited ! I’m watching your videos religiously 🙏🏻","TheBadMama","https://yt3.ggpht.com/ytc/AAUvwnhjy3cs1kzkJ7c-86xJiSxWNXAbe7NPEkZsENDa=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUJaIyapAt_N5w716jGbWKA","UCUJaIyapAt_N5w716jGbWKA","0","0","2021-03-01T22:04:16Z","2021-03-01T22:04:16Z","UgyaAR0P0_VYYcfLIN54AaABAg",NA,"kTxL82Dp-XM"
"Thanks Zak! Can you show what the more relaxed walk looks like (the one before the training walk) if a dog hasn't learned to stop pulling?  Is Inertia allowed to pull during this more relaxed walk? Does that negate the training walk? We sometimes actually do need to get somewhere with our dog Potet, but don't want to undo the little steps forward in our training.","Valentin Manz","https://yt3.ggpht.com/ytc/AAUvwni62T3-DBvAV66tIYLW6ucvZx9eRML3ZtkmYHjz=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCksoCGqt1SA1YmcTD5jQ0uA","UCksoCGqt1SA1YmcTD5jQ0uA","0","0","2021-02-27T19:20:41Z","2021-02-27T19:20:41Z","Ugyz1igNkN8Evn9m3G94AaABAg",NA,"kTxL82Dp-XM"
"ive noticed you stopped using your clicker is that because inertia got older or some other reason","elliot bentley","https://yt3.ggpht.com/ytc/AAUvwnjMfG1zJ_OxjA6L21LN0Milkl7kTBCBITrb2w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtUsKOYHa4F8GAckdyjd_Cw","UCtUsKOYHa4F8GAckdyjd_Cw","0","0","2021-02-27T15:03:43Z","2021-02-27T15:03:43Z","Ugy21rXcm7q0xSLLDap4AaABAg",NA,"kTxL82Dp-XM"
"""Then the wind distracted her."" This is my dog as well XD I take my lab mix 'outside potty' and he is so distracted that he forgets to go.","keegansmom2008","https://yt3.ggpht.com/ytc/AAUvwnhb7lz_QBvoltda4Mf1kCEPCeWAyYQ7czWYFQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCFQrDA2TD_2_pwwbDI11GBA","UCFQrDA2TD_2_pwwbDI11GBA","0","0","2021-02-25T13:54:48Z","2021-02-25T13:54:48Z","UgzBSt-8Z7wU1udXRbx4AaABAg",NA,"kTxL82Dp-XM"
"Can we stop and just say that his shoe game is strong 😂😂😍","jamesS08311","https://yt3.ggpht.com/ytc/AAUvwnjTrZCh2O02LR0UzCRR-1U5gRE0C6l3dZAGHMAF=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCaFra6zTDmhaz72yd2NVAoQ","UCaFra6zTDmhaz72yd2NVAoQ","0","1","2021-02-24T09:22:19Z","2021-02-24T09:22:19Z","UgzYetfINmOKwGy7T794AaABAg",NA,"kTxL82Dp-XM"
"play before walk, then train while on walk... sounds so simple - let's add a puppy to the mix. ☺","Panzer","https://yt3.ggpht.com/ytc/AAUvwnh-CsPrV_MV4I-5sFPUu9ZcVIetist7Ra1tMOY7=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCxC7M76__W4_vj5N633eKFQ","UCxC7M76__W4_vj5N633eKFQ","0","1","2021-02-22T14:39:55Z","2021-02-22T14:39:55Z","UgzDga2AoO2npL6m7eB4AaABAg",NA,"kTxL82Dp-XM"
"What treats","RAY Alvarez","https://yt3.ggpht.com/ytc/AAUvwnhHVm_3bE_W0F6B4iaKq3ySw7kteqB1G-D0LQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCzrrSbhnBHXsSEmW_TiULBg","UCzrrSbhnBHXsSEmW_TiULBg","0","0","2021-02-21T10:18:29Z","2021-02-21T10:18:29Z","UgzqzWhYYs9B9nNF3L54AaABAg",NA,"kTxL82Dp-XM"
