"CommentID","AuthorChannelID","AuthorDisplayName","Comment","PublishedAt"
"Ugw55BzZwWL18J4UiUZ4AaABAg","UC6N8LFmU7znM5faVTvGBxcg","earth.bubbas_","He wasn't even holding her hand while she was pushing or nothing he just had the camera on him half the time. He could've just put it down for a sec to be there for his wife, like, you dont have to put EVERYTHING on youtube.",2021-03-02 18:42:48
"UgwLjoQwObhd2BLOdNd4AaABAg","UC6N8LFmU7znM5faVTvGBxcg","earth.bubbas_","His wife was literally PUSHING OUT HIS FRIGGIN CHILD and he just had the camera on him. Like-",2021-03-02 18:41:39
"UgzcM_--uKDlayOVku94AaABAg","UC6N8LFmU7znM5faVTvGBxcg","earth.bubbas_","This video really annoys me.",2021-03-02 18:33:05
"UgyyH3Yt3Zwni0OhSex4AaABAg","UCtrVTP85SaTeOwnHsZUblZA","Clayton Family","Doctor- u did it girl


Cathrin- ok 👌🏼",2021-03-02 17:56:27
"UgwvLE6fOSCL2OAITvF4AaABAg","UCc6L-48GaqzYO5s-KzDaxgQ","sub2me4noreason","Why tf would you show the whole damn world that. Get demonetized",2021-03-02 14:52:26
"Ugwco7dSbMfggs62TiZ4AaABAg","UCTksh5eT3Apx7Pcl-AJ6Etw","Ashley Champney","B",2021-02-26 13:34:57
"UgxRnm9eZO3Q8imBzQF4AaABAg","UCBn2o47wgO9u_LR0vpk6ftQ","Adrianna Cabrera","Congratulations to you and your family ❤️❤️",2021-02-25 10:50:33
"Ugw15MecWazOGuHQxE14AaABAg","UC4A9wNLPgI1DkUQ3g-NZ8_Q","Shilah Sanders","Boy",2021-02-24 20:41:16
"Ugy1PmRZNgwEiqW-WAJ4AaABAg","UCiuHxFQ1IOUu4qLAnOiqAtA","emilia canales","Hello",2021-02-24 18:57:11
"UgzTt70a1oE-2qWdojd4AaABAg","UC_LxGP-0bbfXRWT_m8RZ2nQ","Ika Muzdaliah","nama nya",2021-02-22 02:15:36
