"CommentID","AuthorChannelID","AuthorDisplayName","Comment","PublishedAt"
"Ugwz_n76PSMahmvDlrp4AaABAg","UCr4ZnuSR9RhQba-hWHkfHUQ","Emma Holwill","To anyone that’s working out secretly in their room:
I feel you. I was like that too as I was embarrassed to exercise in front of my family as I was afraid of them judging me, but when they finally discovered what I was doing, they didn’t judge me at all, in fact they encouraged me, my dad especially, he told me how proud he was of me. Now I do Chloe’s workouts in the living room in front of everyone and I don’t even care, they’re not even watching me, they have better things to do! It’s much less stressful if you don’t try to hide, and there’s so much more space so I can actually complete the exercises properly. 
So basically the point is, don’t be scared or ashamed to exercise in front of your family, they shouldn’t judge you for trying to better yourself!! <3",2020-05-08 12:51:27
"UgyVa09gYGXTVshc4LZ4AaABAg","UCTwz6MSFH5O_VF9oxVECv_A","Tanvi khatana","She looks like a mochi tday so cutee",2021-03-02 23:52:09
"UgxcO3dWCtzLVBQlu9J4AaABAg","UCij2FalYQaF8SBzvH88hBIg","Beyza Nur","I FINISHED",2021-03-02 18:11:16
"UgxCnycg5CYMiwR9Fnt4AaABAg","UCd68VuwVwnsDdh4-AnUxceg","Serra Yazıcıoğlu","Hey people i know you are gonna do your workout after that wish you luck!",2021-03-02 14:50:20
"UgwYAl8lq_z-PDCc9gh4AaABAg","UC1I4jbOdYmLoNoOi80Y3UmA","Тося","Doing the Chloe thing 2 weeks shred~

Day 1 : that was realy hard. But ive done it!",2021-03-02 11:24:25
"Ugzn7UqvAEMavAuaMEB4AaABAg","UCIjafnRlt_1JGHMrZ0NsWaw","thecupcakefox-blog","I look this up because my joints hurt, pop, and cause extended amounts of pain doing her other workouts - specifically my shoulders. Getting the muscles engaged better should help with taking stress off the joints. I want to be stronger but the joint pain (which sometimes burns for days after a workout) is really scaring me and holding me back.",2021-03-02 10:30:17
"UgxALccIf2P-pjYk7EN4AaABAg","UCcxTRqCwNrzaITIVVF1TpuQ","Chedeville","Starting this workout today let’s gooooo",2021-03-02 10:21:35
"UgyRnJFig95dxvqR0-l4AaABAg","UCS6JXDEm-wvHAB6IHjau_Hw","Ms.Potato","* and there's me dying just for a warmup *",2021-03-02 03:12:20
"UgxHHkxf7sah810VYHJ4AaABAg","UC-86WqVi25wcNAlrqiSoaQw","pixeldreams","Current weight- 38 kg
Day 1- done",2021-03-02 02:59:02
"UgyAkZvQAPdKnlFGGpR4AaABAg","UCjTFdFrY2GHYdfgiMhEuPww","miih Lemos","✅",2021-03-01 20:16:15
