"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"To anyone that’s working out secretly in their room:
I feel you. I was like that too as I was embarrassed to exercise in front of my family as I was afraid of them judging me, but when they finally discovered what I was doing, they didn’t judge me at all, in fact they encouraged me, my dad especially, he told me how proud he was of me. Now I do Chloe’s workouts in the living room in front of everyone and I don’t even care, they’re not even watching me, they have better things to do! It’s much less stressful if you don’t try to hide, and there’s so much more space so I can actually complete the exercises properly. 
So basically the point is, don’t be scared or ashamed to exercise in front of your family, they shouldn’t judge you for trying to better yourself!! <3","Emma Holwill","https://yt3.ggpht.com/ytc/AAUvwnhG0vCUgRoUv7wmHmT0I_G-CnAUwX6qmirknpET-A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCr4ZnuSR9RhQba-hWHkfHUQ","UCr4ZnuSR9RhQba-hWHkfHUQ","486","45533","2020-05-08T12:51:27Z","2020-05-08T12:51:27Z","Ugwz_n76PSMahmvDlrp4AaABAg",NA,"-p0PA9Zt8zk"
"Space","Eunice Dsouza","https://yt3.ggpht.com/ytc/AAUvwnicHOQbcQ46BXPREjkmtmmbz0dBs47ycZDdEQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCH9jezECIWHU-4rGRi3NMAg","UCH9jezECIWHU-4rGRi3NMAg","0","0","2021-03-03T17:15:48Z","2021-03-03T17:15:48Z","UgyiIwPe-rfqpOXrne94AaABAg",NA,"-p0PA9Zt8zk"
"Thank you for this video! I really enjoyed it!","G. Thompson","https://yt3.ggpht.com/ytc/AAUvwngpE-wMnlooo2wXEsZli7cNvSnKKj_GUmVjSCpywA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeNX0eglKBoRjcyNOzPhyWw","UCeNX0eglKBoRjcyNOzPhyWw","0","0","2021-03-03T17:10:55Z","2021-03-03T17:10:55Z","Ugx8B3rPMKrmcJO7YZp4AaABAg",NA,"-p0PA9Zt8zk"
"i haven’t worked out since NOVEMBER. i’m gonna start the 2 week shred today i am scared.  plus i have school starting next week (2 days a week) 😭🤚","joon lover","https://yt3.ggpht.com/ytc/AAUvwnh2KguD4bpc-w1ULqWWpryOk2n-vzTRL2LXFDbc8w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTcvGFRv9L9unIsrgNbDX3g","UCTcvGFRv9L9unIsrgNbDX3g","0","0","2021-03-03T15:42:25Z","2021-03-03T15:42:25Z","Ugz9VAYoi_RIHeMJxt54AaABAg",NA,"-p0PA9Zt8zk"
"Meu medo é o fato desse ter sido só o aquecimento","Maria Clara Vieira","https://yt3.ggpht.com/ytc/AAUvwnhtTN2-fk6PnrmFLLEF3V4LIb5ZPZRm0n1B5n4ikA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCRbhR1vvpLCaGYqKAz4pxGA","UCRbhR1vvpLCaGYqKAz4pxGA","0","0","2021-03-03T11:44:35Z","2021-03-03T11:44:35Z","UgxNJLtGH4a1PMT7O814AaABAg",NA,"-p0PA9Zt8zk"
"She looks like a mochi tday so cutee","Tanvi khatana","https://yt3.ggpht.com/ytc/AAUvwngITc2x7-v8ULycN7rbCjfRYO4mt_nBl4EuQWMQZw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTwz6MSFH5O_VF9oxVECv_A","UCTwz6MSFH5O_VF9oxVECv_A","0","1","2021-03-02T23:52:09Z","2021-03-02T23:52:09Z","UgyVa09gYGXTVshc4LZ4AaABAg",NA,"-p0PA9Zt8zk"
"I FINISHED","Beyza Nur","https://yt3.ggpht.com/ytc/AAUvwnglKXTUH2DGkOQP9l88Fm-8NmLVutVXuhXTKsGQsH0=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCij2FalYQaF8SBzvH88hBIg","UCij2FalYQaF8SBzvH88hBIg","0","0","2021-03-02T18:11:16Z","2021-03-02T18:11:16Z","UgxcO3dWCtzLVBQlu9J4AaABAg",NA,"-p0PA9Zt8zk"
"Hey people i know you are gonna do your workout after that wish you luck!","Serra Yazıcıoğlu","https://yt3.ggpht.com/ytc/AAUvwnizL4Q54DF1R1ava0F_ZfmirLLLqykKEIZIp0zF=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCd68VuwVwnsDdh4-AnUxceg","UCd68VuwVwnsDdh4-AnUxceg","0","0","2021-03-02T14:50:20Z","2021-03-02T14:50:20Z","UgxCnycg5CYMiwR9Fnt4AaABAg",NA,"-p0PA9Zt8zk"
"I look this up because my joints hurt, pop, and cause extended amounts of pain doing her other workouts - specifically my shoulders. Getting the muscles engaged better should help with taking stress off the joints. I want to be stronger but the joint pain (which sometimes burns for days after a workout) is really scaring me and holding me back.","thecupcakefox-blog","https://yt3.ggpht.com/ytc/AAUvwnjA20iMGLPe6T2m8y-COUnZqgoh10XJQb9NedI5Xg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIjafnRlt_1JGHMrZ0NsWaw","UCIjafnRlt_1JGHMrZ0NsWaw","0","0","2021-03-02T10:30:17Z","2021-03-02T10:30:17Z","Ugzn7UqvAEMavAuaMEB4AaABAg",NA,"-p0PA9Zt8zk"
"Starting this workout today let’s gooooo","Chedeville","https://yt3.ggpht.com/ytc/AAUvwnjeIJbSn7IyHhoSf2oyjUyXDIgu4znf1QWRWg2Zzw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCcxTRqCwNrzaITIVVF1TpuQ","UCcxTRqCwNrzaITIVVF1TpuQ","1","0","2021-03-02T10:21:35Z","2021-03-02T10:21:35Z","UgxALccIf2P-pjYk7EN4AaABAg",NA,"-p0PA9Zt8zk"
